,month,year,permit,handgun,long_gun,multiple,total_ownership
82,2017-08-01,2017,23051.0,1194.0,11949.0,196,36390.0
83,2017-08-01,2017,444.0,1500.0,2567.0,65,4576.0
84,2017-08-01,2017,10264.0,21432.0,14447.0,1034,47177.0
85,2017-08-01,2017,0.0,9732.0,8978.0,948,19658.0
86,2017-08-01,2017,3993.0,11780.0,8979.0,3,24755.0
87,2017-08-01,2017,24329.0,40628.0,13170.0,0,78127.0
88,2017-08-01,2017,0.0,883.0,596.0,154,1633.0
89,2017-08-01,2017,12255.0,8268.0,6421.0,361,27305.0
90,2017-08-01,2017,737.0,2082.0,3233.0,111,6163.0
91,2017-08-01,2017,14548.0,19965.0,14204.0,0,48717.0
92,2017-08-01,2017,22971.0,37277.0,34884.0,2474,97606.0
93,2017-08-01,2017,15013.0,2790.0,3154.0,0,20957.0
94,2017-08-01,2017,0.0,1232.0,1254.0,89,2575.0
95,2017-08-01,2017,2220.0,20797.0,14926.0,0,37943.0
96,2017-08-01,2017,12068.0,13788.0,9776.0,623,36255.0
97,2017-08-01,2017,2028.0,4946.0,4651.0,341,11966.0
98,2017-08-01,2017,12647.0,12749.0,14317.0,42,39755.0
99,2017-08-01,2017,408.0,1411.0,1762.0,86,3667.0
100,2017-07-01,2017,18042.0,6046.0,4790.0,258,29136.0
101,2017-07-01,2017,222.0,2911.0,2458.0,180,5771.0
102,2017-07-01,2017,5606.0,10194.0,6363.0,544,22707.0
103,2017-07-01,2017,2564.0,4343.0,3804.0,254,10965.0
104,2017-07-01,2017,52610.0,37027.0,21721.0,0,111358.0
105,2017-07-01,2017,4392.0,16063.0,11065.0,1020,32540.0
106,2017-07-01,2017,6387.0,5450.0,1771.0,0,13608.0
107,2017-07-01,2017,305.0,1417.0,1000.0,60,2782.0
108,2017-07-01,2017,16978.0,47430.0,18941.0,1844,85193.0
109,2017-07-01,2017,14623.0,10685.0,6166.0,400,31874.0
110,2017-07-01,2017,1107.0,0.0,0.0,0,1107.0
111,2017-07-01,2017,4539.0,2887.0,3276.0,149,10851.0
112,2017-07-01,2017,13652.0,18417.0,9895.0,765,42729.0
113,2017-07-01,2017,19386.0,15385.0,9995.0,584,45350.0
114,2017-07-01,2017,5099.0,94.0,1649.0,4,6846.0
115,2017-07-01,2017,3667.0,4636.0,3914.0,278,12495.0
116,2017-07-01,2017,374603.0,7236.0,5118.0,419,387376.0
117,2017-07-01,2017,1930.0,9420.0,5992.0,575,17917.0
118,2017-07-01,2017,390.0,2695.0,2259.0,122,5466.0
119,2017-07-01,2017,2025.0,3710.0,3922.0,18,9675.0
120,2017-07-01,2017,6185.0,4034.0,2150.0,118,12487.0
121,2017-07-01,2017,15464.0,9305.0,7687.0,208,32664.0
122,2017-07-01,2017,27018.0,5181.0,7734.0,245,40178.0
123,2017-07-01,2017,1506.0,5961.0,3980.0,320,11767.0
124,2017-07-01,2017,716.0,16151.0,11098.0,857,28822.0
125,2017-07-01,2017,1043.0,2307.0,3168.0,156,6674.0
126,2017-07-01,2017,2656.0,97.0,1204.0,0,3957.0
127,2017-07-01,2017,1805.0,3647.0,1962.0,223,7637.0
128,2017-07-01,2017,1451.0,4228.0,2427.0,4,8110.0
129,2017-07-01,2017,0.0,4351.0,2519.0,0,6870.0
130,2017-07-01,2017,1009.0,4834.0,3254.0,228,9325.0
131,2017-07-01,2017,2315.0,9212.0,11301.0,170,22998.0
132,2017-07-01,2017,20102.0,1059.0,9316.0,180,30657.0
133,2017-07-01,2017,496.0,1286.0,2030.0,62,3874.0
134,2017-07-01,2017,9440.0,20990.0,14131.0,959,45520.0
135,2017-07-01,2017,0.0,9377.0,6698.0,668,16743.0
136,2017-07-01,2017,3998.0,11160.0,7877.0,1,23036.0
137,2017-07-01,2017,23669.0,37329.0,11694.0,0,72692.0
138,2017-07-01,2017,0.0,836.0,593.0,129,1558.0
139,2017-07-01,2017,11585.0,7458.0,4622.0,327,23992.0
140,2017-07-01,2017,1138.0,1926.0,2355.0,99,5518.0
141,2017-07-01,2017,19766.0,20279.0,11425.0,0,51470.0
142,2017-07-01,2017,19006.0,36913.0,27245.0,2193,85357.0
143,2017-07-01,2017,11902.0,2562.0,2546.0,0,17010.0
144,2017-07-01,2017,0.0,1127.0,1012.0,47,2186.0
145,2017-07-01,2017,1139.0,20688.0,13381.0,0,35208.0
146,2017-07-01,2017,10910.0,12872.0,8636.0,565,32983.0
147,2017-07-01,2017,1798.0,4860.0,4535.0,328,11521.0
148,2017-07-01,2017,10275.0,11537.0,9946.0,44,31802.0
149,2017-07-01,2017,279.0,1231.0,1395.0,77,2982.0
150,2017-06-01,2017,19508.0,8275.0,4782.0,334,32899.0
151,2017-06-01,2017,242.0,2909.0,2254.0,190,5595.0
152,2017-06-01,2017,6505.0,11507.0,6726.0,606,25344.0
153,2017-06-01,2017,3033.0,5634.0,4070.0,292,13029.0
154,2017-06-01,2017,60142.0,42726.0,23807.0,0,126675.0
155,2017-06-01,2017,4920.0,17781.0,11298.0,1038,35037.0
156,2017-06-01,2017,8290.0,6203.0,1765.0,0,16258.0
157,2017-06-01,2017,533.0,1724.0,1082.0,66,3405.0
158,2017-06-01,2017,18831.0,52114.0,19380.0,2012,92337.0
159,2017-06-01,2017,15591.0,13617.0,6474.0,497,36179.0
160,2017-06-01,2017,1082.0,0.0,0.0,0,1082.0
161,2017-06-01,2017,11559.0,3645.0,3698.0,184,19086.0
162,2017-06-01,2017,14883.0,21394.0,9491.0,790,46558.0
163,2017-06-01,2017,19163.0,18351.0,9706.0,528,47748.0
164,2017-06-01,2017,5638.0,98.0,1641.0,3,7380.0
165,2017-06-01,2017,2400.0,5625.0,3788.0,280,12093.0
166,2017-06-01,2017,373842.0,8765.0,5223.0,469,388299.0
167,2017-06-01,2017,2011.0,11706.0,6324.0,540,20581.0
168,2017-06-01,2017,567.0,3064.0,2188.0,155,5974.0
169,2017-06-01,2017,2477.0,3968.0,3963.0,19,10427.0
170,2017-06-01,2017,7347.0,5612.0,2287.0,149,15395.0
171,2017-06-01,2017,17225.0,11170.0,7578.0,200,36173.0
172,2017-06-01,2017,29559.0,6258.0,7505.0,286,43608.0
173,2017-06-01,2017,1783.0,7987.0,4029.0,382,14181.0
174,2017-06-01,2017,730.0,19459.0,11470.0,935,32594.0
175,2017-06-01,2017,1518.0,3026.0,3727.0,212,8483.0
176,2017-06-01,2017,2799.0,99.0,1261.0,2,4161.0
177,2017-06-01,2017,2895.0,4449.0,2337.0,219,9900.0
178,2017-06-01,2017,1659.0,4836.0,2412.0,2,8909.0
179,2017-06-01,2017,0.0,5022.0,2586.0,0,7608.0
180,2017-06-01,2017,1140.0,5152.0,3486.0,261,10039.0
181,2017-06-01,2017,2602.0,10784.0,11309.0,196,24891.0
182,2017-06-01,2017,23048.0,1581.0,9570.0,228,34427.0
183,2017-06-01,2017,1159.0,1426.0,1942.0,59,4586.0
184,2017-06-01,2017,11147.0,23703.0,13536.0,973,49359.0
185,2017-06-01,2017,0.0,11872.0,7459.0,778,20109.0
186,2017-06-01,2017,4087.0,13632.0,9218.0,1,26938.0
187,2017-06-01,2017,22674.0,41408.0,11117.0,0,75199.0
188,2017-06-01,2017,0.0,1053.0,592.0,151,1796.0
